species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Engaeus_victoriensis,parastacidae,yes,,,,58.9,total.body.length,58.9,58.9,14.69466678,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_subcoerulea,parastacidae,yes,,,,37,total.body.length,37,37,14.79566662,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_tuberculatus,parastacidae,yes,,,,62.8,total.body.length,62.8,62.8,14.81166649,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_australasiensis,parastacidae,yes,,,,127.2,total.body.length,127.2,127.2,14.85633302,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_catagius,cambaridae,yes,,,,64.7,total.body.length,64.7,64.7,15.03333318,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Creaserinus_hortoni,cambaridae,yes,,,,53.1,total.body.length,53.1,53.1,15.26133329,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_davidi,cambaridae,yes,,,,74.7,total.body.length,74.7,74.7,15.32699982,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_strawni,cambaridae,,,,,28.6,carapace.length,62.062,62.062,15.54833333,Semi-terrestrial,Reimer 1966,"Two new species of the genus Cambarus from Arkansas (Decapoda, Astacidae)",
Cambarus_nodosus,cambaridae,yes,7,29.76,26.6,32.1,carapace.length,64.2,64.2,15.63499999,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Fallicambarus_harpi,cambaridae,yes,,,,68.3,total.body.length,68.3,68.3,15.88400018,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_jeanae,cambaridae,yes,,,,65.9,total.body.length,65.9,65.9,15.88400018,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Distocambarus_youngineri,cambaridae,yes,,,,57.5,total.body.length,57.5,57.5,15.9253333,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Lacunicambarus_ludovicianus,cambaridae,yes,,,,93.5,total.body.length,93.5,93.5,15.95566662,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_similis,parastacidae,yes,,,,36,total.body.length,36,36,15.96500023,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_reimeri,cambaridae,yes,,,,69,total.body.length,69,69,16.17866671,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Lacunicambarus_acanthura,cambaridae,yes,5,34.78,24.7,39.2,carapace.length,76.44,76.44,16.34066681,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Engaeus_cymus,parastacidae,yes,,,,47.2,total.body.length,47.2,47.2,16.35033321,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_strigosus,cambaridae,yes,2,32.95,31.9,34,carapace.length,68,68,16.5066667,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Parastacus_pilimanus,parastacidae,yes,,21,,44.5,carapace.length,87.22,87.22,16.53733333,Semi-terrestrial,"Rudolph and Verdi, 2010","Intersexuality in the burrowing crayfish, Parastacus pilimanus (von Martens, 1869)(Decapoda, Parastacidae)",
Procambarus_cometes,cambaridae,yes,,,,76.3,total.body.length,76.3,76.3,16.54533311,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_harti,cambaridae,,,,,26.6,carapace.length,53.2,53.2,16.58433334,Semi-terrestrial,Hobbs 1981,The Crayfishes of Georgia,
Distocambarus_carlsoni,cambaridae,yes,22,26.65,18.2,35,carapace.length,75.95,75.95,16.7019997,Semi-terrestrial,"Megan Stubbs, Unpublished Data",,
Parastacus_defossus,parastacidae,yes,,,,32.42,carapace.length,63.5432,63.5432,16.70699986,Semi-terrestrial,"Noro & Buckup, 2008",Estrutura populacional e biologia r a populacional e biologia reprodutiva de Parastacus astacus defossus (Crustacea: ustacea: Decapoda: Parastacidae) astacidae),
Distocambarus_crockeri,cambaridae,yes,,,,66.4,total.body.length,66.4,66.4,16.71799982,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Creaserinus_gilpini,cambaridae,yes,,,,53.3,total.body.length,53.3,53.3,16.76200008,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_regalis,cambaridae,yes,,,,75.4,total.body.length,75.4,75.4,16.87966692,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Distocambarus_devexus,cambaridae,yes,14,22.31,12.2,35.5,carapace.length,77.035,77.035,16.88066665,Semi-terrestrial,"Megan Stubbs, Unpublished Data",,
Distocambarus_hunteri,cambaridae,yes,,,,50.6,total.body.length,50.6,50.6,16.99700018,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Creaserinus_caesius,cambaridae,yes,,,,64.3,total.body.length,64.3,64.3,17.09266678,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hagenianus,cambaridae,yes,,,,73.6,total.body.length,73.6,73.6,17.11833334,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Parastacus_varicosus,parastacidae,yes,32,,12.55,37.22,carapace.length,72.9512,72.9512,17.1286668,Semi-terrestrial,"Silva-Castiglioni, et al. 2008",Characterization of the sexual pattern of Parastacus varicosus (Crustacea: Decapoda: Parastacidae),
Fallicambarus_petilicarpus,cambaridae,yes,,,,58.5,total.body.length,58.5,58.5,17.17599992,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_dissitus,cambaridae,,,,,31.5,carapace.length,68.355,68.355,17.43499998,Semi-terrestrial,Penn 1955,"A new cambarus of the diogenes section from north lousiana (Decapoda, Astacidae)",
Procambarus_steigmani,cambaridae,yes,,,,57.8,total.body.length,57.8,57.8,17.56866662,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_reflexus,cambaridae,yes,2,35,33.1,36.9,carapace.length,73.8,73.8,17.65866681,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_barbiger,cambaridae,yes,,,,73.8,total.body.length,73.8,73.8,17.68033326,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_truncatus,cambaridae,yes,3,29,,29,carapace.length,58,58,17.6856668,Semi-terrestrial,"Roberson et al., 2015","Life History and Distribution of the Oconee Burrowing Crayfish, Cambarus truncatus",
Procambarus_curdi,cambaridae,,,,,38.3,carapace.length,77.366,77.366,17.8513331,Semi-terrestrial,Reimer 1975,"PROCAMBARUS (GIRARDIELLA) CURDI, A NEW CRAWFISH FROM ARKANSAS, OKLAHOMA, AND TEXAS (DECAPODA, ASTACIDAE)",
Creaserinus_burrisi,cambaridae,yes,,,,39,total.body.length,39,39,17.90766696,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Astacoides_crosnieri,parastacidae,yes,60,36.94,27,50.233,carapace.length,91.92639,91.92639,18.18733311,Semi-terrestrial,"Jones et al., 2007",The ecology and conservation status of Madagascar’s endemic freshwater crayfish (Parastacidae; Astacoides),
Creaserinus_gordoni,cambaridae,yes,3,25.36,25.1,25.7,carapace.length,52.942,52.942,18.20066675,Semi-terrestrial,"Johnston & Figiel, 1997","MICROHABITAT PARAMETERS AND LIFE-HISTORY CHARACTERISTICS OF FALLICAMBARUS GORDONI FITZPATRICK, A CRAYFISH ASSOCIATED WITH PITCHER-PLANT BOGS IN SOUTHERN MISSISSIPPI",
Lacunicambarus_miltus,cambaridae,yes,,,,49.3,total.body.length,49.3,49.3,18.23999985,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_truculentus,cambaridae,yes,,,,64.9,total.body.length,64.9,64.9,18.38433337,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_caritus,cambaridae,yes,2,31.75,30,33.5,carapace.length,67.67,67.67,18.42899998,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Creaserinus_byersi,cambaridae,,,,,33.2,carapace.length,68.392,68.392,18.56966686,Semi-terrestrial,Schuster et al. 2022,The Crayfishes of Alabama,
Fallicambarus_devastator,cambaridae,yes,,,,92.1,total.body.length,92.1,92.1,18.57199979,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Creaserinus_danielae,cambaridae,,,,,29.3,carapace.length,60.358,60.358,18.62933318,Semi-terrestrial,Schuster et al. 2022,The Crayfishes of Alabama,
Creaserinus_oryktes,cambaridae,,,,,25,carapace.length,51.5,51.5,18.62933318,Semi-terrestrial,Penn and Marlow 1959,"The Genus Cambarus in Louisiana (Decapoda, Astacidae)",
Procambarus_advena,cambaridae,yes,2,30.85,29.2,32.5,carapace.length,65.65,65.65,18.71099989,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Cherax_cuspidatus,parastacidae,yes,,,,61,total.body.length,61,61,18.81466667,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_macneesei,cambaridae,yes,,,,54.6,total.body.length,54.6,54.6,18.8586665,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_kountzeae,cambaridae,,,,,31,carapace.length,67.27,67.27,19.22633314,Semi-terrestrial,Johnson 2008,Descriptions of two new crayfishes of the genus Fallicambarus from southeast Texas with notes on the distribution of F. (F.) macneesei,
Fallicambarus_houstonensis,cambaridae,,,,,35,carapace.length,75.95,75.95,19.25700013,Semi-terrestrial,Johnson 2008,Descriptions of two new crayfishes of the genus Fallicambarus from southeast Texas with notes on the distribution of F. (F.) macneesei,
Procambarus_rogersi_rogersi,cambaridae,yes,,,,58.6,total.body.length,58.6,58.6,19.36133353,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Parastacus_brasiliensis,parastacidae,yes,,28.4,,28.4,carapace.length,55.664,55.664,19.4156669,Semi-terrestrial,Dalosta et al. 2013,Aggressiveness and life underground : the case of burrowing crayfish,
Cambarus_pyronotus,cambaridae,,,,,37.9,carapace.length,75.8,75.8,19.56233319,Semi-terrestrial,Schuster et al. 2022,The Crayfishes of Alabama,
Procambarus_talpoides,cambaridae,yes,31,30.99,26.45,39.96,carapace.length,80.7192,80.7192,19.66199994,Semi-terrestrial,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_ceruleus,cambaridae,yes,,,,53,total.body.length,53,53,19.69999981,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_cairnsensis,parastacidae,yes,,,,59,total.body.length,59,59,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_depressus,parastacidae,,,,,75,total.body.length,75,75,,Semi-terrestrial,Riek 1951,The freshwater crayfish (family Parastacidae) of Queensland,
Cherax_setosus,parastacidae,yes,2,17.43,16.25,18.62,post.orbital.carapace.length,39.18705432,39.18705432,,Semi-terrestrial,"Mccormack & Coughran, 2011","Taxonomy, distribution and ecology of the Setose Yabby, Cherax setosus (Riek, 1951)",
Engaeus_affinis,parastacidae,yes,,,,53.2,total.body.length,53.2,53.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_granulatus,parastacidae,yes,,,,67.7,total.body.length,67.7,67.7,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_mallacoota,parastacidae,yes,,,,42.1,total.body.length,42.1,42.1,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_martigener,parastacidae,yes,,,,52.5,total.body.length,52.5,52.5,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_orramakunna,parastacidae,yes,,,,63.3,total.body.length,63.3,63.3,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_phyllocercus,parastacidae,yes,,,,56.2,total.body.length,56.2,56.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_spinicaudatus,parastacidae,yes,,,,46.9,total.body.length,46.9,46.9,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_sternalis,parastacidae,yes,,,,40.4,total.body.length,40.4,40.4,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_urostrictus,parastacidae,yes,4,18.9,16,20.2,post.orbital.carapace.length,41.63444444,41.63444444,,Semi-terrestrial,"Horwitz, 1990",A Taxonomic Revision of Species in the Freshwater Crayfish Genus Engaeus Erichson (Decapoda : Parastacidae),
Engaeus_yabbimunna,parastacidae,yes,,,,46.3,total.body.length,46.3,46.3,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_pseudoreducta,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_reducta,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_walpolea,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_dalagarbe,parastacidae,yes,,,,75.9,total.body.length,75.9,75.9,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_reductus,parastacidae,yes,,,,70,total.body.length,70,70,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_yigara,parastacidae,yes,,,,47.2,total.body.length,47.2,47.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_wallsi,cambaridae,,,,,32.7,carapace.length,70.959,70.959,,Semi-terrestrial,Johnson 2011,"Fallicambarus (F.) wallsi (Decapoda: Cambaridae), a new burrowing crayfish from Eastern Texas",
Lacunicambarus_erythrodactylus,cambaridae,yes,17,39.5,,39.5,carapace.length,77.025,77.025,,Semi-terrestrial,"Simon & Morris, 2015","Cambarus (Lacunicambarus) erythrodactylus, a new species of crayfish (Decapoda: Cambaridae) of the Cambarus diogenes complex from Alabama and Mississippi, U.S.A.",
Lacunicambarus_freudensteini,cambaridae,yes,3,,,23.3,carapace.length,45.435,45.435,,Semi-terrestrial,"Glon et al, 2020",Two new species of burrowing crayfish in the genus Lacunicambarus (Decapoda: Cambaridae) from Alabama and Mississippi,
Lacunicambarus_mobilensis  ,cambaridae,yes,6,,,24.36,carapace.length,47.502,47.502,,Semi-terrestrial,"Glon et al, 2020",Two new species of burrowing crayfish in the genus Lacunicambarus (Decapoda: Cambaridae) from Alabama and Mississippi,
Parastacus_tuerkeyi,parastacidae,yes,1,26.45,,26.45,carapace.length,51.842,51.842,,Semi-terrestrial,"Ribeiro et al., 2017","A new species of Parastacus Huxley, 1879 (Crustacea, Decapoda, Parastacidae) from a swamp forest in southern Brazil",
Procambarus_rogersi_campestris,cambaridae,yes,,,,64.5,total.body.length,64.5,64.5,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_rogersi_ochlocknensis,cambaridae,yes,,,,54.4,total.body.length,54.4,54.4,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Spinastacoides_tasmanicus,parastacidae,yes,65,30.03,23.51,35.03,carapace.length,64.8055,64.8055,,Semi-terrestrial,Hamr 1995,The reproductive biology of the tasmanian freshwater crayfish parastacoides t. tasmanicus,
Ombrastacoides_huonensis,parastacidae,yes,,,,79.6,total.body.length,79.6,79.6,9.866333405,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Spinastacoides_insignis,parastacidae,yes,3,24.85,23,25.56,carapace.length,47.286,47.286,10.22799989,Semi-terrestrial,"Hamr, 1990","Comparative reproductive biology of the Tasmanian freshwater crayfishes Astacopsis gouldi Clark, Astacopsis franklinii Gray and Parastacoides tasmanicus Clark (Decapoda: Parastacidae",
Engaeus_nulloporius,parastacidae,yes,,,,45.4,total.body.length,45.4,45.4,12.03300011,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_mairener,parastacidae,yes,,,,53.7,total.body.length,53.7,53.7,12.5966665,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_lengana,parastacidae,yes,,,,39.5,total.body.length,39.5,39.5,11.34533334,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
